precoFipe,precoMinimo,precoMedio,precoMaximo,brand,model,version,modelYear,carroceria,versionId
,39900,48921,58000,AUDI,A1,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 2P AUTOMÁTICO,2011,Hatchback,12f3efc9cf65178d58cb65309a356e72
,38890,51227,76000,AUDI,A1,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 2P AUTOMÁTICO,2012,Hatchback,b0acc4f4e0ca7030b1f72b1701265997
,55870,57565,62000,AUDI,A1,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 2P AUTOMÁTICO,2013,Hatchback,ba34fbc69ef213531c758d774f3afd42
,51990,61652,74900,AUDI,A1,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 4P AUTOMÁTICO,2013,Hatchback,46f676d5f9e4f1f01fe140957d4516a9
,55000,62164,73500,AUDI,A1,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 4P AUTOMÁTICO,2014,Hatchback,6e41a76f542f7c0bc8fc56fc6bbd0e33
,54000,55725,57000,AUDI,A1,1.4 TFSI SPORT 16V 185CV GASOLINA 2P AUTOMÁTICO,2012,Hatchback,de9e696e77afd58bae05d963965ee429
,61999,67042,75000,AUDI,A1,1.4 TFSI SPORT 16V 185CV GASOLINA 2P AUTOMÁTICO,2013,Hatchback,eb6a70d98713fdce67769e17f6dc485c
,51900,67223,89900,AUDI,A1,1.4 TFSI SPORTBACK AMBITION 16V 185CV GASOLINA 4P AUTOMÁTICO,2013,Hatchback,6440aab9ce2c176683041e5a4ecd4ec8
,68900,75440,85000,AUDI,A1,1.4 TFSI SPORTBACK AMBITION 16V 185CV GASOLINA 4P AUTOMÁTICO,2014,Hatchback,6f427f3bc0039e24845e8d0c433320b5
56840,45000,57355,69900,AUDI,A1,1.4 TFSI SPORTBACK ATTRACTION 16V 122CV GASOLINA 4P S-TRONIC,2013,Hatchback,39ee0874c6c9935bf5efd273a685dce7
